EmployeeID,Name,Department,Age,Salary,Experience,City
101,Amit,IT,25,55000,2,Delhi
102,Priya,HR,29,60000,,Mumbai
103,Rahul,IT,31,75000,7,Bangalore
104,Neha,Finance,,65000,3,Delhi
105,Karan,IT,35,90000,10,
106,Anjali,HR,24,,1,Mumbai
107,Vikas,Finance,40,110000,15,Bangalore
108,Meera,,28,70000,5,Delhi
109,Arjun,Marketing,30,68000,,Pune
110,Sneha,Marketing,26,62000,3,Mumbai
111,Rohan,IT,32,80000,8,Delhi
112,Kavya,HR,27,58000,4,
113,Dev,Finance,38,,12,Bangalore
114,Isha,Marketing,,64000,5,Pune
115,Yash,,23,48000,1,Delhi
116,Akash,IT,27,62000,4,Delhi
117,Pooja,HR,,67000,6,Mumbai
118,Nitin,Finance,42,,17,Bangalore
119,Simran,Marketing,25,58000,,Pune
120,Manish,IT,36,95000,11,
121,Ritika,,28,61000,4,Mumbai
122,Harsh,Finance,39,108000,,Bangalore
123,Tanya,Marketing,29,70000,6,
124,Aditya,IT,33,85000,8,Delhi
125,Nisha,HR,26,,2,Mumbai
126,Suresh,Finance,45,125000,20,Chennai
127,Komal,Marketing,,72000,7,Hyderabad
128,Raj,IT,29,70000,5,
129,Shreya,HR,30,65000,,Delhi
130,Varun,Finance,41,112000,16,Mumbai
131,Deepika,Marketing,27,,3,Pune
132,Mohit,IT,,88000,9,Hyderabad
133,Payal,,25,54000,2,Chennai
134,Ankit,Finance,37,98000,11,Delhi
135,Sonal,Marketing,31,69000,,Mumbai
136,Rakesh,IT,38,,13,Bangalore
137,Preeti,HR,29,62000,4,
138,Gaurav,Finance,,118000,18,Hyderabad
139,Divya,Marketing,28,65000,4,Delhi
140,Sachin,IT,30,76000,,Mumbai
141,Monika,HR,33,71000,8,Bangalore
142,Ajay,Finance,46,130000,,Chennai
143,Pallavi,Marketing,26,60000,3,
144,Naveen,IT,,92000,10,Delhi
145,Reema,HR,27,59000,,Mumbai
146,Vinay,Finance,40,,15,Pune
147,Chirag,Marketing,34,75000,8,Bangalore
148,Bhavna,IT,28,68000,,Hyderabad
149,Kishore,,32,69000,7,Delhi
150,Aarti,Finance,39,104000,13,
